new entry "Shout_ROR_DemonWings"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "Ability" "None"
data "ActionPoints" "1"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "SkillProperties" "WINGS,100,3"
data "AreaRadius" "0"
data "AddWeaponRange" "No"
data "TargetConditions" "Self"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Autocast" "Yes"
data "Icon" "Skill_Polymorph_Wings"
data "DisplayName" "Shout_ROR_DemonWings_DisplayName"
data "DisplayNameRef" "Spread Your Wings"
data "Description" "Shout_ROR_DemonWings_Description"
data "DescriptionRef" "Spreads your demonic wings. You ignore ground surfaces as long as you're walking."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Totem_Prepare_Totem_Root_01,KeepRot;RS3_FX_Skills_Totem_Prepare_Totem_Owl_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Dummy_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_self_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Totem_Cast_Self_Totem_Root_01:Dummy_Root;RS3_FX_Skills_Totem_Cast_Self_Totem_Dummy_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Cast_Self_Totem_Owl_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Cast_Self_Totem_Root_TextKey_01:Dummy_Root:cast"
data "Memory Cost" "0"
data "Magic Cost" "1"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
