new entry "Target_ROR_DK_AllConsumingHunger"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "None"
data "ActionPoints" "2"
data "Cooldown" "5"
data "AIFlags" "CanNotUse"
data "Damage Multiplier" "160"
data "Damage Range" "10"
data "DamageType" "Piercing"
data "SkillProperties" "EXT:ROR_ConsumingHunger,100,1,,20"
data "TargetRadius" "3"
data "AddWeaponRange" "No"
data "IsMelee" "Yes"
data "DeathType" "Explode"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "TargetConditions" "Character;NonSelf"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_Familiar_Terrify"
data "DisplayName" "Target_ROR_DK_AllConsumingHunger_DisplayName"
data "DisplayNameRef" "All-Consuming Hunger"
data "Description" "Target_ROR_DK_AllConsumingHunger_Description"
data "DescriptionRef" "Devour the weak to proliferate your demonic vigour."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Totem_Prepare_DemonicTutelage_Root_01"
data "CastAnimation" "skill_cast_self_totem_01_cast"
data "CastSelfAnimation" "skill_cast_shout_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Totem_DemonicTutelage_Impact_Beam_01:Dummy_Root;RS3_FX_Skills_Totem_Cast_DemonicTutelage_Root_01:Dummy_Root:cast;RS3_FX_Skills_Totem_Cast_DemonicTutelage_Root_01_SFX:Dummy_Root"
data "PreviewEffect" "RS3_FX_GP_Status_VampiricHunger_01"
data "TargetEffect" "RS3_FX_Skills_Totem_DemonicTutelage_Impact_Root_01:root;RS3_FX_Skills_Voodoo_TerrifyingCruelty_TargetEffect_01:root"
data "TargetGroundEffect" "RS3_FX_Skills_Voodoo_TerrifyingCruelty_TargetEffect_SubEmit_01:root:cast"
